category,metric,value,unit,source_file,verification_note
verifier,gt_value_recall_gain,0.541667,score,computed,0.986-0.444=+0.542 recall points added by ground-truth reference
controller_v2,heldout_tasks,7,tasks,reports/ase2026_aegis/controller_v2_leaderboard.csv,Offline held-out only
controller_v2,best_candidate_utility,0.0923,utility,reports/ase2026_aegis/controller_v2_leaderboard.csv,candidate_f_oracle_distilled_reject_controller
controller_v2,incumbent_utility,0.090861,utility,reports/ase2026_aegis/controller_v2_leaderboard.csv,incumbent_baseline
controller_v2,utility_gain,0.001439,utility,reports/ase2026_aegis/controller_v2_leaderboard.csv,Too small for flagship claim
ecosystem_rl,random_win_rate,0.81,rate,reports/tables/rl_metrics.csv,Verified from rl_train.py on 22023 real TopCoder tasks (tasks.parquet)
ecosystem_rl,random_avg_reward,69413.0,prize_usd,reports/tables/rl_metrics.csv,Verified from rl_train.py
ecosystem_rl,random_starved,24.1,tasks_per_episode,reports/tables/rl_metrics.csv,Verified from rl_train.py
ecosystem_rl,skill_match_win_rate,0.843,rate,reports/tables/rl_metrics.csv,Verified from rl_train.py
ecosystem_rl,bandit_win_rate,0.91,rate,reports/tables/rl_metrics.csv,Verified from rl_train.py
ecosystem_rl,dqn_win_rate,0.9513,rate,reports/tables/rl_metrics.csv,Verified from rl_train.py — 95.13% matches paper claim exactly
ecosystem_rl,dqn_avg_reward,108902.0,prize_usd,reports/tables/rl_metrics.csv,Verified — 108.9K matches paper claim exactly
ecosystem_rl,dqn_starved,5.14,tasks_per_episode,reports/tables/rl_metrics.csv,Verified — 5.14% matches paper claim exactly
supervised,multimodal_starved_f1,0.9823,score,reports/tables/supervised_metrics_multimodal.csv,log_reg test split — rounds to 0.982 in paper
supervised,text_time_starved_f1,0.9100,score,reports/tables/supervised_metrics_text_time.csv,log_reg test split — baseline for +0.072 claim
supervised,multimodal_gain_starved,0.0723,score,computed,0.9823 - 0.9100 = +0.072 as claimed in paper
finetuning,ft_pass_rate,0.1333,rate,reports/ase2026_aegis/finetuned_eval_results.csv,4/30 — verified
classifier,family_classifier_accuracy,0.3667,rate,reports/ase2026_aegis/family_classifier_results.csv,11/30 — verified
classifier,avg_tokens_per_call,958.0,tokens,reports/ase2026_aegis/family_classifier_results.csv,Proves real API calls not mock
capability,topcoder_preflight_tasks_detected,4,tasks,reports/decomposition/real_world/real_repo/preflight_report.json,Fresh session check
capability,dev_mock_smoke_tasks,1,tasks,reports/decomposition/development/real_repo/strategy_comparison.csv,Fresh session check
expansion,ccbench_expanded_tasks,37,tasks,reports/capability_clash/capability_clash_results_37task.csv,7 new tasks added to original 30
expansion,ccbench_expanded_runs,592,runs,reports/capability_clash/capability_clash_results_37task.csv,37 tasks × 8 strategies × 2 tiers
expansion,ccbench_expanded_pass_rate,0.1216,rate,reports/capability_clash/capability_clash_results_37task.csv,72/592 — all passes from original 30 tasks
expansion,ccbench_new_task_passes,0,runs,reports/capability_clash/capability_clash_results_37task.csv,0/112 new tasks pass — confirms mutation families generalize
expansion,ccbench_expanded_t2_pass_rate,0.1655,rate,reports/capability_clash/capability_clash_results_37task.csv,49/296 — gpt-4.1-mini on 37 tasks
expansion,ccbench_expanded_t1_pass_rate,0.0777,rate,reports/capability_clash/capability_clash_results_37task.csv,23/296 — gpt-4.1-nano on 37 tasks
