task_id,strategy,model,mutation_family,verdict,confidence,c1_complete,c2_correct,c3_minimal,c4_targeted,c5_family_aware,reasoning,tokens
cc_braindecode_temporal_mask_misorder,direct_baseline,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.9,False,False,True,False,False,"The patch is effectively empty and does not restore the correct ordering of slicing targets before masking or remove the misleading hint, thus it fails to address the mutation fully or correctly.",1068
cc_braindecode_temporal_mask_misorder,failure_mode_first,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.8,False,True,True,True,True,"The patch correctly reorders slicing targets before masking, but it does not fully restore the original logic since the masking result is assigned to masked_targets but not used further, and the rest of the forward method is missing, so the fix is incomplete.",1088
cc_braindecode_temporal_mask_misorder,multi_view,gpt-4.1-mini,temporal_state_inconsistency,PASS,0.95,True,True,True,True,True,"The patch correctly restores the original order of slicing targets before masking, fully addressing the mutation without introducing new issues, and does so with minimal, targeted changes that align with the temporal_state_inconsistency mutation family.",1081
cc_braindecode_temporal_mask_misorder,pattern_skeleton,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.9,False,True,True,True,True,"The patch correctly restores the order of slicing targets before masking, but it does not fully revert the mutation since the original code also included the creation of masked_targets which is incomplete here, indicating the fix is partial.",1081
cc_braindecode_temporal_mask_misorder,role_decomposed,gpt-4.1-mini,temporal_state_inconsistency,FAIL,0.8,False,True,True,True,True,"The patch correctly restores the order of slicing targets before masking, but it does not fully revert the mutation since the original code also included the line 'masked_targets = targets[mask]' which is missing in the buggy code snippet and only partially restored here; thus, the fix is incomplete.",1096
cc_braindecode_temporal_mask_misorder,semantic_diff,gpt-4.1-mini,temporal_state_inconsistency,PASS,0.95,True,True,True,True,True,"The patch correctly restores the original order of slicing targets before masking, addressing the temporal state inconsistency mutation fully and precisely without extraneous changes.",1067
cc_braindecode_temporal_mask_misorder,simulation_trace,gpt-4.1-mini,temporal_state_inconsistency,PASS,0.95,True,True,True,True,True,"The patch correctly restores the original order of slicing targets before masking, directly addressing the temporal state inconsistency mutation without introducing extraneous changes.",1066
cc_braindecode_temporal_mask_misorder,contract_first,gpt-4.1-nano,temporal_state_inconsistency,FAIL,0.8,False,False,False,True,True,"The patch correctly reorders slicing targets before masking, but it introduces an incomplete line 'masked_targets' without completing the masking logic, thus failing to fully address the mutation and introducing a syntax error.",1077
cc_braindecode_temporal_mask_misorder,failure_mode_first,gpt-4.1-nano,temporal_state_inconsistency,FAIL,0.9,False,True,True,True,True,"The patch correctly restores the order of slicing targets before masking, but it does not fully revert the mutation since the original code also included the creation of masked_targets which is only partially restored here, missing the subsequent use or return of masked_targets, thus not fully addressing all aspects of the mutation.",1097
cc_braindecode_temporal_mask_misorder,multi_view,gpt-4.1-nano,temporal_state_inconsistency,PASS,0.95,True,True,True,True,True,"The patch correctly restores the original order of slicing targets before masking, addressing the temporal state inconsistency mutation fully and precisely without extraneous changes.",1067
cc_braindecode_temporal_mask_misorder,pattern_skeleton,gpt-4.1-nano,temporal_state_inconsistency,PASS,0.95,True,True,True,True,True,"The patch correctly restores the original order of slicing targets before masking, addresses the mutation fully without extra changes, modifies the correct code location, and aligns with the temporal_state_inconsistency mutation family by ensuring temporal alignment before masking.",1084
cc_braindecode_temporal_mask_misorder,semantic_diff,gpt-4.1-nano,temporal_state_inconsistency,FAIL,0.9,False,True,True,True,True,"The patch correctly restores the order of slicing targets before masking, but it does not fully revert the mutation since the original code also included the line 'masked_targets = targets[mask]' which is missing in the buggy code and only partially restored here, leaving the mutation incompletely addressed.",1095
cc_braindecode_temporal_mask_misorder,simulation_trace,gpt-4.1-nano,temporal_state_inconsistency,PASS,0.95,True,True,True,True,True,"The patch correctly restores the original order of slicing targets before masking, directly addressing the temporal state inconsistency mutation without introducing extraneous changes.",1066
cc_simtrade_cache_clear_incomplete,multi_view,gpt-4.1-mini,incomplete_patch_trap,PASS,1.0,True,True,True,True,True,"The patch fully restores the original intended behavior of clear() by removing the incorrect conditional partial pop and replacing it with a full clear, directly addressing the mutation without extra changes.",1031
cc_simtrade_cache_clear_incomplete,role_decomposed,gpt-4.1-mini,incomplete_patch_trap,PASS,0.95,True,True,True,True,True,"The patch fully restores the original intended behavior of clearing all cache entries by removing the incorrect conditional partial pop, making the fix precise, correct, and minimal.",1028
cc_simtrade_cache_lru_trap,simulation_trace,gpt-4.1-mini,false_localization_trap,FAIL,0.9,False,False,False,False,False,"The patch does not actually change the code; it shows an incomplete and invalid line 'del self' instead of 'del self._data[key]' and does not reinstate the _move_to_end call in get, thus failing to address the mutation fully or correctly.",1117
cc_simtrade_cache_ttl_dual,contract_first,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.9,False,False,False,False,False,"The patch removes the _ttl_in_ms flag and the scaling logic but does not restore the original second-based TTL handling between the cache decorator and MemoryCache; it also removes the global setting of _ttl_in_ms, which is necessary for the mutation family, thus failing to fully and correctly revert the mutation.",1123
cc_simtrade_cache_ttl_dual,direct_baseline,gpt-4.1-mini,compensating_dual_mutation,PASS,1.0,True,True,True,True,True,"The patch fully removes the incorrect millisecond scaling and the related attribute, restoring TTL handling to seconds as originally intended, with minimal and targeted changes that directly address the mutation.",1104
cc_simtrade_cache_ttl_dual,failure_mode_first,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.9,False,False,True,True,False,"The patch removes the _ttl_in_ms attribute that caused TTL to be scaled to milliseconds, but it does not restore the original scaling logic or ensure TTL is handled in seconds as intended, thus failing to fully revert the mutation and re-enable second-based TTL handling.",1175
cc_simtrade_cache_ttl_dual,multi_view,gpt-4.1-mini,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch fully removes the incorrect TTL scaling logic and the class attribute forcing millisecond scaling, restoring correct second-based TTL handling exactly where the mutation introduced the error.",1153
cc_simtrade_cache_ttl_dual,pattern_skeleton,gpt-4.1-mini,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch removes the incorrect millisecond scaling and the _ttl_in_ms attribute, restoring second-based TTL handling as intended, addressing all mutation aspects minimally and correctly at the right location.",1098
cc_simtrade_cache_ttl_dual,role_decomposed,gpt-4.1-mini,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch fully removes the _ttl_in_ms attribute and the scaling logic, restoring TTL handling to seconds as originally intended, with minimal and targeted changes that directly address the mutation.",1206
cc_simtrade_cache_ttl_dual,semantic_diff,gpt-4.1-mini,compensating_dual_mutation,FAIL,0.9,False,False,False,False,False,"The patch removes the _ttl_in_ms scaling logic but does not restore the original second-based TTL handling between the cache decorator and MemoryCache, leaving the mutation partially unaddressed and introducing inconsistency; also, it removes the class attribute setting which is necessary for the original behavior, thus failing completeness, correctness, minimality, targeted fix, and family-aware criteria.",1135
cc_simtrade_cache_ttl_dual,simulation_trace,gpt-4.1-mini,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch correctly removes the TTL scaling to milliseconds, restoring second-based TTL handling as intended, by removing the _ttl_in_ms flag and the scaling logic, without introducing extraneous changes.",1179
cc_simtrade_cache_ttl_dual,contract_first,gpt-4.1-nano,compensating_dual_mutation,FAIL,0.9,False,False,False,False,False,"The patch removes the _ttl_in_ms flag and the scaling logic but does not restore the original behavior of scaling TTL to milliseconds, thus failing to fully revert the mutation; it also removes the global setting of _ttl_in_ms, which is necessary for the original second-based TTL handling, making the fix incomplete, incorrect, and not targeted.",1130
cc_simtrade_cache_ttl_dual,failure_mode_first,gpt-4.1-nano,compensating_dual_mutation,FAIL,0.9,False,False,False,False,False,"The patch removes the _ttl_in_ms attribute from MemoryCache but does not restore the original second-based TTL handling logic in the set method, leaving the scale_ms check and effective_ttl calculation incomplete and broken, thus failing to fully and correctly revert the mutation.",1175
cc_simtrade_cache_ttl_dual,pattern_skeleton,gpt-4.1-nano,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch removes the incorrect millisecond scaling and the related attribute, restoring the original second-based TTL handling exactly where the mutation introduced the error.",1090
cc_simtrade_cache_ttl_dual,role_decomposed,gpt-4.1-nano,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch fully removes the _ttl_in_ms flag and the scaling logic, restoring TTL handling in seconds as originally intended, without extraneous changes and directly at the mutation site.",1206
cc_simtrade_cache_ttl_dual,simulation_trace,gpt-4.1-nano,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch fully removes the TTL scaling flag causing TTL to be treated as seconds, correctly reverting the mutation, with minimal and targeted changes that address the compensating dual mutation pattern.",1177
cc_simtrade_router_skip_primary,contract_first,gpt-4.1-mini,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch fully removes the _skip_primary flag and its conditional use in _try_fetch, restoring the original behavior without introducing new changes, precisely targeting the mutation and addressing the compensating dual mutation pattern.",1060
cc_simtrade_router_skip_primary,direct_baseline,gpt-4.1-mini,compensating_dual_mutation,PASS,1.0,True,True,True,True,True,"The patch fully removes the _skip_primary flag and its conditional use in _try_fetch, restoring the original behavior without introducing new changes or side effects, directly addressing the compensating dual mutation.",1058
cc_simtrade_router_skip_primary,failure_mode_first,gpt-4.1-mini,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch fully removes the _skip_primary flag and its conditional usage, correctly restoring the original behavior of running the first configured source, with minimal and targeted changes that directly address the compensating dual mutation.",1108
cc_simtrade_router_skip_primary,multi_view,gpt-4.1-mini,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch fully removes the _skip_primary flag and its conditional use in _try_fetch, correctly restoring the original behavior so the first configured source runs, with minimal and targeted changes that directly address the compensating dual mutation.",1112
cc_simtrade_router_skip_primary,pattern_skeleton,gpt-4.1-mini,compensating_dual_mutation,PASS,1.0,True,True,True,True,True,"The patch fully removes the _skip_primary flag and its conditional use, restoring the original behavior of running the first configured source, which directly addresses the mutation and does so minimally and correctly at the right location.",1061
cc_simtrade_router_skip_primary,role_decomposed,gpt-4.1-mini,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch fully removes the _skip_primary flag and its conditional use, correctly restoring the original behavior without extra changes, directly targeting the mutation and addressing the compensating dual mutation pattern.",1104
cc_simtrade_router_skip_primary,semantic_diff,gpt-4.1-mini,compensating_dual_mutation,PASS,1.0,True,True,True,True,True,"The patch fully removes the _skip_primary flag and its conditional use in _try_fetch, restoring the original behavior so the first source runs, with no extraneous changes.",1054
cc_simtrade_router_skip_primary,simulation_trace,gpt-4.1-mini,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch directly addresses the mutation by resetting _skip_primary to False and removing the conditional skip of the primary source, fully restoring the original intended behavior without extraneous changes.",1050
cc_simtrade_router_skip_primary,direct_baseline,gpt-4.1-nano,compensating_dual_mutation,PASS,1.0,True,True,True,True,True,"The patch fully removes the _skip_primary flag and its conditional use, correctly restoring the original behavior without extra changes, directly targeting the mutation and addressing the compensating dual mutation pattern.",1056
cc_simtrade_router_skip_primary,pattern_skeleton,gpt-4.1-nano,compensating_dual_mutation,PASS,1.0,True,True,True,True,True,"The patch fully removes the _skip_primary flag and its conditional use, restoring the original behavior of running the first configured source, which directly addresses the mutation; it does so minimally and correctly at the precise locations affected by the mutation, consistent with the compensating_dual_mutation pattern.",1077
cc_simtrade_router_skip_primary,role_decomposed,gpt-4.1-nano,compensating_dual_mutation,PASS,0.95,True,True,True,True,True,"The patch fully removes the _skip_primary flag and its conditional usage, correctly restoring the original behavior of running the first configured source, with minimal and targeted changes that directly address the compensating dual mutation.",1108
cc_tmuxp_extension_incomplete_patch,contract_first,gpt-4.1-mini,incomplete_patch_trap,PASS,1.0,True,True,True,True,True,"The patch correctly restores the missing '.tmuxp.yml' extension in LOCAL_WORKSPACE_FILES, fully addressing the incomplete patch mutation without introducing extraneous changes.",1031
cc_tmuxp_extension_incomplete_patch,direct_baseline,gpt-4.1-mini,incomplete_patch_trap,PASS,1.0,True,True,True,True,True,"The patch correctly restores the missing '.tmuxp.yml' extension in LOCAL_WORKSPACE_FILES, fully addressing the incomplete patch mutation without introducing extraneous changes.",1031
cc_tmuxp_extension_incomplete_patch,failure_mode_first,gpt-4.1-mini,incomplete_patch_trap,PASS,0.95,True,True,True,True,True,"The patch correctly restores the missing '.tmuxp.yml' extension in the LOCAL_WORKSPACE_FILES list, fully addressing the incomplete patch mutation without introducing extraneous changes or affecting unrelated code.",1037
cc_tmuxp_extension_incomplete_patch,multi_view,gpt-4.1-mini,incomplete_patch_trap,PASS,1.0,True,True,True,True,True,"The patch precisely restores the missing '.tmuxp.yml' extension in LOCAL_WORKSPACE_FILES, fully addressing the incomplete patch mutation without introducing extraneous changes.",1031
cc_tmuxp_extension_incomplete_patch,pattern_skeleton,gpt-4.1-mini,incomplete_patch_trap,PASS,0.95,True,True,True,True,True,"The patch precisely restores the missing '.tmuxp.yml' entry in LOCAL_WORKSPACE_FILES, fully addressing the incomplete patch mutation without introducing extraneous changes.",1031
cc_tmuxp_extension_incomplete_patch,role_decomposed,gpt-4.1-mini,incomplete_patch_trap,PASS,0.95,True,True,True,True,True,"The patch precisely restores the missing '.tmuxp.yml' extension in LOCAL_WORKSPACE_FILES, fully addressing the incomplete patch mutation without introducing extraneous changes.",1031
cc_tmuxp_extension_incomplete_patch,semantic_diff,gpt-4.1-mini,incomplete_patch_trap,PASS,1.0,True,True,True,True,True,"The patch correctly restores the missing '.tmuxp.yml' extension in LOCAL_WORKSPACE_FILES, fully addressing the incomplete patch mutation without introducing extraneous changes or affecting unrelated code.",1035
cc_tmuxp_extension_incomplete_patch,simulation_trace,gpt-4.1-mini,incomplete_patch_trap,PASS,1.0,True,True,True,True,True,"The patch correctly restores the missing '.tmuxp.yml' extension in the LOCAL_WORKSPACE_FILES list, fully addressing the incomplete patch mutation without introducing extraneous changes.",1033
cc_tmuxp_extension_incomplete_patch,contract_first,gpt-4.1-nano,incomplete_patch_trap,PASS,1.0,True,True,True,True,True,"The patch correctly restores the missing '.tmuxp.yml' extension in LOCAL_WORKSPACE_FILES, fully addressing the incomplete patch mutation without introducing extraneous changes or affecting unrelated code.",1035
cc_tmuxp_extension_incomplete_patch,semantic_diff,gpt-4.1-nano,incomplete_patch_trap,PASS,1.0,True,True,True,True,True,"The patch correctly restores the missing '.tmuxp.yml' extension in LOCAL_WORKSPACE_FILES, fully addressing the incomplete patch mutation without introducing extraneous changes or affecting unrelated code.",1035
cc_tmuxp_stop_home_trap,contract_first,gpt-4.1-mini,false_localization_trap,PASS,0.95,True,True,True,True,True,"The patch correctly restores the intended stop condition by changing 'or' to 'and', ensuring the traversal stops at home only if stop_at_home is True, which fully addresses the false localization trap mutation without extra changes.",1091
cc_tmuxp_stop_home_trap,direct_baseline,gpt-4.1-mini,false_localization_trap,FAIL,0.9,False,False,True,False,False,"The patch does not change any code; it only repeats the same lines, so it does not address the mutation's stop condition or fix the false localization trap, thus failing completeness, correctness, targeting, and family awareness.",1120
cc_tmuxp_stop_home_trap,failure_mode_first,gpt-4.1-mini,false_localization_trap,FAIL,0.9,False,False,True,False,False,"The patch shows no actual change from the buggy code, so it does not restore the correct stop condition or fix the traversal logic as required by the mutation description.",1108
cc_tmuxp_stop_home_trap,multi_view,gpt-4.1-mini,false_localization_trap,FAIL,0.8,False,False,False,False,False,"The patch only adds a break statement and changes a condition from 'or' to 'and' without restoring the full correct stop condition or fixing misleading hints; it is incomplete, partially incorrect, and does not fully address the false_localization_trap mutation.",1098
cc_tmuxp_stop_home_trap,pattern_skeleton,gpt-4.1-mini,false_localization_trap,FAIL,0.8,False,False,True,False,False,"The patch only adds a break statement and changes a condition from 'or' to 'and' without restoring the full correct stop condition or fixing misleading hints, thus it is incomplete and incorrect for the false_localization_trap mutation; also, the patch does not fully address the traversal logic and is not sufficiently targeted.",1110
cc_tmuxp_stop_home_trap,role_decomposed,gpt-4.1-mini,false_localization_trap,FAIL,0.9,False,True,True,True,False,"The patch correctly adjusts the stop condition to prevent infinite traversal and clarifies the comment, but it misses fully restoring the correct stop condition logic for the 'stop_at_home' flag, thus not completely addressing the mutation and not fully accounting for the false_localization_trap pattern.",1108
cc_tmuxp_stop_home_trap,semantic_diff,gpt-4.1-mini,false_localization_trap,FAIL,0.9,False,False,True,False,False,"The patch does not change any code; it only repeats the existing lines without fixing the stop condition or misleading hints related to local workspace traversal, thus failing to address the mutation fully or correctly.",1114
cc_tmuxp_stop_home_trap,simulation_trace,gpt-4.1-mini,false_localization_trap,FAIL,0.6,False,False,True,False,False,"The patch only adds a break statement after a condition but does not restore the correct stop condition or fix misleading hints as required; it is incomplete, not fully correct, and does not address the mutation's core issue or the specific false_localization_trap pattern.",1047
cc_tmuxp_stop_home_trap,direct_baseline,gpt-4.1-nano,false_localization_trap,FAIL,0.7,False,False,True,False,False,"The patch shows no actual code change, only a partial snippet repeated, so it does not address the mutation's stop condition or fix misleading hints; thus it is incomplete, incorrect, and not targeted to the mutation family.",1120
cc_tmuxp_stop_home_trap,multi_view,gpt-4.1-nano,false_localization_trap,FAIL,0.7,False,False,True,False,False,"The patch only adds a break statement and changes a condition from 'or' to 'and' without restoring the full correct stop condition for local workspace traversal, missing other necessary fixes and not fully addressing the false localization trap mutation.",1092
cc_tmuxp_stop_home_trap,pattern_skeleton,gpt-4.1-nano,false_localization_trap,FAIL,0.9,False,False,False,False,False,"The patch only partially addresses the stop condition by adding a break but misses the full context and correct logic for the stop_at_home condition, and the diff is incomplete and not minimal or fully targeted to the mutation family.",1090
cc_tmuxp_stop_home_trap,role_decomposed,gpt-4.1-nano,false_localization_trap,FAIL,0.9,False,True,True,True,False,"The patch correctly adjusts the stop condition from 'or' to 'and' and clarifies a comment, but it does not fully restore the correct stop condition or fix all misleading hints related to the local workspace traversal, thus it is incomplete and not fully family-aware.",1106
